Rank,TV_show,Year,Rating,Link
240,Black Books,2000,8.4,https://www.imdb.com/title/tt0262150/
241,John Adams,2008,8.4,https://www.imdb.com/title/tt0472027/
242,X-Men,1992,8.4,https://www.imdb.com/title/tt0103584/
243,Avrupa Yakasi,2004,8.4,https://www.imdb.com/title/tt0421291/
244,Southland,2009,8.4,https://www.imdb.com/title/tt1299368/
245,The Defiant Ones,2017,8.4,https://www.imdb.com/title/tt6958022/
246,The Punisher,2017,8.4,https://www.imdb.com/title/tt5675620/
247,Garth Marenghi's Darkplace,2004,8.4,https://www.imdb.com/title/tt0397150/
248,Mare of Easttown,2021,8.4,https://www.imdb.com/title/tt10155688/
249,Kardes Payi,2014,8.4,https://www.imdb.com/title/tt3671754/
250,Queer Eye,2018,8.4,https://www.imdb.com/title/tt7259746/
